"State","Geography","county_fips","Race","Religion","Sexual_Orientation","Disability","Gender","Gender_Identity","Gender_both","Total","Median_Income","White_Income","White_Diff","Gini","Unemployment","LFPR","AvgYears","Density"
"Iowa","Linn County, Iowa",19113,0,0,1,0,0,0,0,2,60989,62706,1717,0.4294,4.2,84.2076727441746,16.1324618766409,294.6
"Iowa","Mahaska County, Iowa",19123,1,0,0,0,0,0,0,1,49599,50508,909,0.4459,6.3,79.6917453250223,15.5215860786397,39.2
"Iowa","Polk County, Iowa",19153,2,1,1,0,0,0,0,5,61684,65170,3486,0.4481,5.2,84.1896863732501,16.0266038978882,750.5
"Kansas","Brown County, Kansas",20013,1,0,0,0,0,0,0,1,44672,47973,3301,0.4208,3.9,81.1135107046352,15.5045692883895,17.5
"Kansas","Butler County, Kansas",20015,2,1,0,0,0,0,0,3,60338,60413,75,0.4176,5.3,78.57781285963,15.9550071895728,46.1
"Kansas","Crawford County, Kansas",20037,1,0,0,0,0,0,0,1,37607,38893,1286,0.4586,5.8,78.4159427666553,15.7514785346552,66.4
"Kansas","Doniphan County, Kansas",20043,1,0,0,0,0,0,0,1,49375,51327,1952,0.407,5.1,80.7406356711321,15.2998062015504,20.2
"Kansas","Ellis County, Kansas",20051,1,0,0,0,0,0,0,1,50140,51394,1254,0.4539,3.4,85.6719868735084,16.0170130166705,31.6
"Kansas","Finney County, Kansas",20055,0,0,1,0,0,0,0,2,50712,58107,7395,0.4149,4.8,82.7979962255773,14.0905546530518,28.2
"Kansas","Ford County, Kansas",20057,2,0,0,1,0,0,0,3,49688,52486,2798,0.4162,7.2,80.255407434096,13.9531581282974,30.8
"Kansas","Franklin County, Kansas",20059,1,0,0,0,0,0,0,1,51465,53045,1580,0.4094,6,80.624855044453,15.5040981189929,45.5
"Kansas","Greeley County, Kansas",20071,0,0,0,1,0,0,0,1,47000,50682,3682,0.4047,1.2,83.6925925925926,15.3635321100917,1.6
"Kansas","Harvey County, Kansas",20079,2,0,0,0,0,0,0,2,52463,55441,2978,0.4044,3.7,80.8307318827549,15.7858821481417,64.3
"Kansas","Johnson County, Kansas",20091,3,2,0,0,0,0,0,5,78186,81604,3418,0.45,4.1,84.6383182473669,16.9990060005218,1149.6
"Kansas","Linn County, Kansas",20107,1,0,0,0,0,0,0,1,45790,45690,-100,0.49,6.6,75.2594605983986,15.2096605353671,16.3
"Kansas","Montgomery County, Kansas",20125,1,0,0,1,0,0,0,2,42646,44637,1991,0.4421,7.4,74.8973055166961,15.3857534004593,55.1
"Kansas","Neosho County, Kansas",20133,1,0,0,0,0,0,0,1,43867,44697,830,0.4512,3.4,81.320942408377,15.50217572447,28.9
"Kansas","Pratt County, Kansas",20151,1,0,0,0,0,0,0,1,48995,49645,650,0.453,5.3,79.6410896461906,15.623419721871,13.1
"Kansas","Reno County, Kansas",20155,1,0,1,0,0,0,0,3,46000,46412,412,0.4304,5.2,74.9988088521096,15.338612263716,51.4
"Kansas","Saline County, Kansas",20169,3,0,0,0,0,0,0,3,48497,49624,1127,0.4481,4.5,82.5462082514735,15.4428536365868,77.2
"Kansas","Sedgwick County, Kansas",20173,5,0,2,0,0,0,0,9,51157,56638,5481,0.4549,6,79.7120650693472,15.7050304901464,499.6
"Kansas","Shawnee County, Kansas",20177,1,1,0,0,0,0,0,2,52088,56105,4017,0.4404,6,78.5130585887822,15.7347887406221,327.1
"Kansas","Thomas County, Kansas",20193,1,0,0,0,0,0,0,1,52074,54590,2516,0.4597,1.9,86.3836836573831,16.0451843043995,7.4
"Kansas","Wabaunsee County, Kansas",20197,1,0,0,0,0,0,0,1,57791,57988,197,0.359,4.7,79.7596202890337,15.5910616869492,8.9
"Kansas","Wyandotte County, Kansas",20209,1,0,0,0,0,0,0,1,40757,49282,8525,0.4276,9.3,76.9741458910434,14.4437691466622,1039
