GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US05143,5143,"Washington County, Arkansas",45442,1023
0500000US05145,5145,"White County, Arkansas",42197,1798
0500000US05147,5147,"Woodruff County, Arkansas",30383,2042
0500000US05149,5149,"Yell County, Arkansas",39323,1899
0500000US06001,6001,"Alameda County, California",79831,739
0500000US06003,6003,"Alpine County, California",62375,5989
0500000US06005,6005,"Amador County, California",57032,3247
0500000US06007,6007,"Butte County, California",44366,1131
0500000US06009,6009,"Calaveras County, California",53502,3912
0500000US06011,6011,"Colusa County, California",54946,3336
0500000US06013,6013,"Contra Costa County, California",82881,984
0500000US06015,6015,"Del Norte County, California",42363,3792
0500000US06017,6017,"El Dorado County, California",72586,1756
0500000US06019,6019,"Fresno County, California",45963,661
0500000US06021,6021,"Glenn County, California",41699,3688
0500000US06023,6023,"Humboldt County, California",42685,1286
0500000US06025,6025,"Imperial County, California",42560,1587
0500000US06027,6027,"Inyo County, California",47278,3449
0500000US06029,6029,"Kern County, California",49788,909
0500000US06031,6031,"Kings County, California",47241,1395
0500000US06033,6033,"Lake County, California",36132,2745
0500000US06035,6035,"Lassen County, California",51457,2483
0500000US06037,6037,"Los Angeles County, California",57952,331
0500000US06039,6039,"Madera County, California",45742,1704
0500000US06041,6041,"Marin County, California",100310,1876
0500000US06043,6043,"Mariposa County, California",49265,3372
0500000US06045,6045,"Mendocino County, California",43510,1518
0500000US06047,6047,"Merced County, California",44397,1141
0500000US06049,6049,"Modoc County, California",41194,3818
0500000US06051,6051,"Mono County, California",58937,6409
0500000US06053,6053,"Monterey County, California",60889,992
0500000US06055,6055,"Napa County, California",74609,1865
0500000US06057,6057,"Nevada County, California",57429,2569
0500000US06059,6059,"Orange County, California",78145,490
0500000US06061,6061,"Placer County, California",76926,1293
0500000US06063,6063,"Plumas County, California",50125,3068
0500000US06065,6065,"Riverside County, California",57972,542
0500000US06067,6067,"Sacramento County, California",57509,578
0500000US06069,6069,"San Benito County, California",73814,3746
0500000US06071,6071,"San Bernardino County, California",54469,559
0500000US06073,6073,"San Diego County, California",66529,460
0500000US06075,6075,"San Francisco County, California",87701,1447
0500000US06077,6077,"San Joaquin County, California",55045,896
0500000US06079,6079,"San Luis Obispo County, California",64014,1807
0500000US06081,6081,"San Mateo County, California",98546,1232
0500000US06083,6083,"Santa Barbara County, California",65161,1202
0500000US06085,6085,"Santa Clara County, California",101173,661
0500000US06087,6087,"Santa Cruz County, California",70088,1935
0500000US06089,6089,"Shasta County, California",45582,963
0500000US06091,6091,"Sierra County, California",43984,11767
0500000US06093,6093,"Siskiyou County, California",38524,2078
0500000US06095,6095,"Solano County, California",69227,1596
0500000US06097,6097,"Sonoma County, California",66833,1161
0500000US06099,6099,"Stanislaus County, California",51591,797
0500000US06101,6101,"Sutter County, California",52943,1645
0500000US06103,6103,"Tehama County, California",40687,2118
0500000US06105,6105,"Trinity County, California",35270,3838
0500000US06107,6107,"Tulare County, California",42789,1042
0500000US06109,6109,"Tuolumne County, California",50731,1795
0500000US06111,6111,"Ventura County, California",78593,962
0500000US06113,6113,"Yolo County, California",57663,1664
0500000US06115,6115,"Yuba County, California",48739,2031
0500000US08001,8001,"Adams County, Colorado",61444,985
0500000US08003,8003,"Alamosa County, Colorado",32385,3599
0500000US08005,8005,"Arapahoe County, Colorado",66288,628
0500000US08007,8007,"Archuleta County, Colorado",45607,4241
0500000US08009,8009,"Baca County, Colorado",37477,3196
0500000US08011,8011,"Bent County, Colorado",34773,5957
0500000US08013,8013,"Boulder County, Colorado",72282,1203
0500000US08014,8014,"Broomfield County, Colorado",83334,2790
0500000US08015,8015,"Chaffee County, Colorado",50993,2307
0500000US08017,8017,"Cheyenne County, Colorado",54375,3787
0500000US08019,8019,"Clear Creek County, Colorado",68250,5320
0500000US08021,8021,"Conejos County, Colorado",34630,2794
0500000US08023,8023,"Costilla County, Colorado",26610,3906
0500000US08025,8025,"Crowley County, Colorado",31719,3534
0500000US08027,8027,"Custer County, Colorado",38605,4710
0500000US08029,8029,"Delta County, Colorado",42011,2339
0500000US08031,8031,"Denver County, Colorado",56258,883
0500000US08033,8033,"Dolores County, Colorado",32240,3582
0500000US08035,8035,"Douglas County, Colorado",105759,1690
0500000US08037,8037,"Eagle County, Colorado",78763,3924
0500000US08039,8039,"Elbert County, Colorado",87288,3230
0500000US08041,8041,"El Paso County, Colorado",60219,868
0500000US08043,8043,"Fremont County, Colorado",42308,1887
0500000US08045,8045,"Garfield County, Colorado",61300,2979
0500000US08047,8047,"Gilpin County, Colorado",67544,11078
0500000US08049,8049,"Grand County, Colorado",67623,4520
0500000US08051,8051,"Gunnison County, Colorado",50746,3990
0500000US08053,8053,"Hinsdale County, Colorado",51250,10651
0500000US08055,8055,"Huerfano County, Colorado",33257,3275
0500000US08057,8057,"Jackson County, Colorado",45053,5212
0500000US08059,8059,"Jefferson County, Colorado",72017,732
0500000US08061,8061,"Kiowa County, Colorado",38385,3646
0500000US08063,8063,"Kit Carson County, Colorado",44449,6458
0500000US08065,8065,"Lake County, Colorado",46928,12843
0500000US08067,8067,"La Plata County, Colorado",61910,2330
0500000US08069,8069,"Larimer County, Colorado",61942,1051
0500000US08071,8071,"Las Animas County, Colorado",42808,3023
0500000US08073,8073,"Lincoln County, Colorado",40438,3362
0500000US08075,8075,"Logan County, Colorado",43340,4492
0500000US08077,8077,"Mesa County, Colorado",50070,1685
0500000US08079,8079,"Mineral County, Colorado",49125,7775
0500000US08081,8081,"Moffat County, Colorado",53664,4678
0500000US08083,8083,"Montezuma County, Colorado",41622,2453
0500000US08085,8085,"Montrose County, Colorado",43890,2941
0500000US08087,8087,"Morgan County, Colorado",49495,2108
0500000US08089,8089,"Otero County, Colorado",34477,3630
0500000US08091,8091,"Ouray County, Colorado",62800,4623
0500000US08093,8093,"Park County, Colorado",61675,4821
0500000US08095,8095,"Phillips County, Colorado",46955,6522
0500000US08097,8097,"Pitkin County, Colorado",69789,8113
0500000US08099,8099,"Prowers County, Colorado",41037,2895
0500000US08101,8101,"Pueblo County, Colorado",42000,978
0500000US08103,8103,"Rio Blanco County, Colorado",56771,9808
0500000US08105,8105,"Rio Grande County, Colorado",40177,3832
0500000US08107,8107,"Routt County, Colorado",63505,4842
0500000US08109,8109,"Saguache County, Colorado",32457,3677
0500000US08111,8111,"San Juan County, Colorado",41250,12794
0500000US08113,8113,"San Miguel County, Colorado",58170,4648
0500000US08115,8115,"Sedgwick County, Colorado",46977,3747
0500000US08117,8117,"Summit County, Colorado",70192,4595
0500000US08119,8119,"Teller County, Colorado",63723,4288
0500000US08121,8121,"Washington County, Colorado",46315,2485
0500000US08123,8123,"Weld County, Colorado",62820,1323
0500000US08125,8125,"Yuma County, Colorado",42026,3485
0500000US09001,9001,"Fairfield County, Connecticut",86670,1113
0500000US09003,9003,"Hartford County, Connecticut",68027,895
0500000US09005,9005,"Litchfield County, Connecticut",73519,1457
0500000US09007,9007,"Middlesex County, Connecticut",79837,1690
0500000US09009,9009,"New Haven County, Connecticut",62715,921
0500000US09011,9011,"New London County, Connecticut",67574,1516
0500000US09013,9013,"Tolland County, Connecticut",80129,1915
0500000US09015,9015,"Windham County, Connecticut",60689,1613
0500000US10001,10001,"Kent County, Delaware",55184,1410
0500000US10003,10003,"New Castle County, Delaware",66283,934
0500000US10005,10005,"Sussex County, Delaware",54218,1078
0500000US11001,11001,"District of Columbia, District of Columbia",72935,1164
0500000US12001,12001,"Alachua County, Florida",44702,1585
0500000US12003,12003,"Baker County, Florida",53327,4669
0500000US12005,12005,"Bay County, Florida",48577,1251
0500000US12007,12007,"Bradford County, Florida",43373,3640
0500000US12009,12009,"Brevard County, Florida",49914,752
0500000US12011,12011,"Broward County, Florida",52954,555
0500000US12013,12013,"Calhoun County, Florida",37089,2913
0500000US12015,12015,"Charlotte County, Florida",44865,1142
0500000US12017,12017,"Citrus County, Florida",39054,1401
0500000US12019,12019,"Clay County, Florida",59179,1689
0500000US12021,12021,"Collier County, Florida",59783,1045
0500000US12023,12023,"Columbia County, Florida",42848,2335
0500000US12027,12027,"DeSoto County, Florida",35513,1638
0500000US12029,12029,"Dixie County, Florida",34634,3417
0500000US12031,12031,"Duval County, Florida",49196,662
0500000US12033,12033,"Escambia County, Florida",46117,981
0500000US12035,12035,"Flagler County, Florida",48898,1356
0500000US12037,12037,"Franklin County, Florida",40301,2834
0500000US12039,12039,"Gadsden County, Florida",38533,1689
0500000US12041,12041,"Gilchrist County, Florida",40881,2944
0500000US12043,12043,"Glades County, Florida",34143,3090
0500000US12045,12045,"Gulf County, Florida",40822,3488
0500000US12047,12047,"Hamilton County, Florida",38980,3542
0500000US12049,12049,"Hardee County, Florida",36222,2818
0500000US12051,12051,"Hendry County, Florida",37552,2424
0500000US12053,12053,"Hernando County, Florida",42274,1067
0500000US12055,12055,"Highlands County, Florida",35865,981
0500000US12057,12057,"Hillsborough County, Florida",51681,427
0500000US12059,12059,"Holmes County, Florida",37437,2785
0500000US12061,12061,"Indian River County, Florida",47446,1431
0500000US12063,12063,"Jackson County, Florida",35470,1840
0500000US12065,12065,"Jefferson County, Florida",41696,5005
0500000US12067,12067,"Lafayette County, Florida",36236,6429
0500000US12069,12069,"Lake County, Florida",47141,1136
0500000US12071,12071,"Lee County, Florida",50390,566
0500000US12073,12073,"Leon County, Florida",48248,874
0500000US12075,12075,"Levy County, Florida",35480,1900
0500000US12077,12077,"Liberty County, Florida",37917,3285
0500000US12079,12079,"Madison County, Florida",29806,2370
0500000US12081,12081,"Manatee County, Florida",51483,860
0500000US12083,12083,"Marion County, Florida",40295,694
0500000US12085,12085,"Martin County, Florida",52622,1490
0500000US12086,12086,"Miami-Dade County, Florida",44224,458
0500000US12087,12087,"Monroe County, Florida",60303,1862
0500000US12089,12089,"Nassau County, Florida",59196,3437
0500000US12091,12091,"Okaloosa County, Florida",57655,1172
0500000US12093,12093,"Okeechobee County, Florida",36415,1507
0500000US12095,12095,"Orange County, Florida",49391,721
0500000US12097,12097,"Osceola County, Florida",45536,1117
0500000US12099,12099,"Palm Beach County, Florida",55277,597
0500000US12101,12101,"Pasco County, Florida",46010,578
0500000US12103,12103,"Pinellas County, Florida",47090,550
0500000US12105,12105,"Polk County, Florida",44146,826
0500000US12107,12107,"Putnam County, Florida",33003,1543
0500000US12109,12109,"St. Johns County, Florida",69523,2255
0500000US12111,12111,"St. Lucie County, Florida",44140,1569
0500000US12113,12113,"Santa Rosa County, Florida",60652,1508
0500000US12115,12115,"Sarasota County, Florida",52796,887
0500000US12117,12117,"Seminole County, Florida",58538,1518
0500000US12119,12119,"Sumter County, Florida",52594,2311
0500000US12121,12121,"Suwannee County, Florida",37796,3277
0500000US12123,12123,"Taylor County, Florida",36195,3237
0500000US12125,12125,"Union County, Florida",37778,5437
0500000US12127,12127,"Volusia County, Florida",42240,582
0500000US12129,12129,"Wakulla County, Florida",54078,3663
0500000US12131,12131,"Walton County, Florida",46910,2422
0500000US12133,12133,"Washington County, Florida",38330,2663
0500000US13001,13001,"Appling County, Georgia",37388,2734
0500000US13003,13003,"Atkinson County, Georgia",31296,1910
0500000US13005,13005,"Bacon County, Georgia",37303,3448
0500000US13007,13007,"Baker County, Georgia",45903,6329
0500000US13009,13009,"Baldwin County, Georgia",34595,3101
0500000US13011,13011,"Banks County, Georgia",40721,2629
0500000US13013,13013,"Barrow County, Georgia",53133,1472
0500000US13015,13015,"Bartow County, Georgia",50565,1488
0500000US13017,13017,"Ben Hill County, Georgia",29510,2985
0500000US13019,13019,"Berrien County, Georgia",35740,3638
0500000US13021,13021,"Bibb County, Georgia",37108,1050
0500000US13023,13023,"Bleckley County, Georgia",37060,6046
0500000US13025,13025,"Brantley County, Georgia",36837,2846
0500000US13027,13027,"Brooks County, Georgia",34547,4018
0500000US13029,13029,"Bryan County, Georgia",65862,3127
0500000US13031,13031,"Bulloch County, Georgia",37125,1872
0500000US13033,13033,"Burke County, Georgia",34589,3141
0500000US13035,13035,"Butts County, Georgia",40753,3187
0500000US13037,13037,"Calhoun County, Georgia",28200,3858
0500000US13039,13039,"Camden County, Georgia",53327,2122
0500000US13043,13043,"Candler County, Georgia",33379,3313
0500000US13045,13045,"Carroll County, Georgia",45486,1722
0500000US13047,13047,"Catoosa County, Georgia",52265,1681
0500000US13049,13049,"Charlton County, Georgia",43871,9072
0500000US13051,13051,"Chatham County, Georgia",49596,1240
0500000US13053,13053,"Chattahoochee County, Georgia",43929,4714
0500000US13055,13055,"Chattooga County, Georgia",35245,2499
0500000US13057,13057,"Cherokee County, Georgia",72586,2556
0500000US13059,13059,"Clarke County, Georgia",33116,1199
0500000US13061,13061,"Clay County, Georgia",22120,4562
0500000US13063,13063,"Clayton County, Georgia",42470,1165
0500000US13065,13065,"Clinch County, Georgia",24848,3805
0500000US13067,13067,"Cobb County, Georgia",68818,1059
0500000US13069,13069,"Coffee County, Georgia",34536,2347
0500000US13071,13071,"Colquitt County, Georgia",33968,1931
0500000US13073,13073,"Columbia County, Georgia",71962,2194
0500000US13075,13075,"Cook County, Georgia",35199,3935
0500000US13077,13077,"Coweta County, Georgia",65244,1965
0500000US13079,13079,"Crawford County, Georgia",40459,3300
0500000US13081,13081,"Crisp County, Georgia",31672,2371
