Hate	All	Education
2	4010	Top Fifth
2	926	Top Fifth
18	12282	Top Fifth
125	42346	Top Fifth
0	164	Top Fifth
2	2561	Top Fifth
11	3701	Top Fifth
5	9478	Top Fifth
1	16412	Top Fifth
3	5019	Top Fifth
1	2475	Top Fifth
4	3186	Top Fifth
1	396	Top Fifth
4	3267	Top Fifth
3	893	Top Fifth
4	7632	Top Fifth
2	2620	Top Fifth
1	350	Top Fifth
2	3619	Top Fifth
11	6583	Top Fifth
1	239	Top Fifth
